Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Change vs. Prior Year Designation,Change vs. Prior Year,Format Value # (Billion),Format Value # (Million),Max Date,Min Date,Total Value # (Billion),Total Value # (Million),Year change text,Adjusted for Inflation Flag,Total Value For Year,Year Date,% Difference in Value (Actual),% of Total Value (Actual),Value (Actual),Value (For Charting),Year (copy)
2020,,,Synchronization,Value,2020,,,,$265.2M,2020,2020,$12.2B,,,,$12153.4B,2020,,2.182410905%,265.236066908,265.236066908,2020
2019,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2018,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2017,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2016,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2015,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2014,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2013,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2012,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2011,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2010,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2009,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2008,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2007,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2006,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2005,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2004,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2003,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2002,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2001,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2000,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1999,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1998,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1997,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1996,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1995,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1994,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1993,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1992,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1991,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1990,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1989,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1988,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1987,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1986,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1985,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1984,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1983,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1982,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1981,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1980,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1979,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1978,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1977,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1976,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1975,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1974,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
1973,,,Synchronization,Value,2020,,,,,2020,2020,,,,,,,,,,,
2020,,,Synchronization,Value,2019,a decrease of,-100.0%,,,2019,2019,,,(a decrease of of -100.0% vs. the prior year),,,,-100%,,,,
2019,,,Synchronization,Value,2019,,,,$281.1M,2019,2019,$11.1B,,,,$11130.4B,2019,,2.525640895%,281.112735759,281.112735759,2019
2018,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2017,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2016,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2015,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2014,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2013,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2012,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2011,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2010,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2009,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2008,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2007,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2006,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2005,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2004,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2003,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2002,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2001,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2000,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1999,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1998,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1997,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1996,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1995,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1994,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1993,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1992,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1991,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1990,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1989,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1988,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1987,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1986,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1985,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1984,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1983,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1982,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1981,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1980,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1979,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1978,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1977,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1976,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1975,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1974,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
1973,,,Synchronization,Value,2019,,,,,2019,2019,,,,,,,,,,,
2020,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2019,,,Synchronization,Value,2018,a decrease of,-100.0%,,,2018,2018,,,(a decrease of of -100.0% vs. the prior year),,,,-100%,,,,
2018,,,Synchronization,Value,2018,,,,$285.5M,2018,2018,$9.7B,,,,$9738.2B,2018,,2.931892806%,285.513491340,285.513491340,2018
2017,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2016,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2015,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2014,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2013,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2012,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2011,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2010,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2009,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2008,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2007,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2006,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2005,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2004,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2003,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2002,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2001,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2000,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1999,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1998,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1997,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1996,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1995,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1994,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1993,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1992,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1991,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1990,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1989,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1988,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1987,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1986,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1985,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1984,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1983,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1982,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1981,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1980,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1979,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1978,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1977,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1976,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1975,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1974,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
1973,,,Synchronization,Value,2018,,,,,2018,2018,,,,,,,,,,,
2020,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2019,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2018,,,Synchronization,Value,2017,a decrease of,-100.0%,,,2017,2017,,,(a decrease of of -100.0% vs. the prior year),,,,-100%,,,,
2017,,,Synchronization,Value,2017,,,,$232.1M,2017,2017,$8.5B,,,,$8503.2B,2017,,2.729390568%,232.086522899,232.086522899,2017
2016,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2015,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2014,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2013,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2012,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2011,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2010,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2009,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2008,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2007,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2006,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2005,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2004,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2003,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2002,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2001,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2000,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1999,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1998,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1997,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1996,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1995,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1994,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1993,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1992,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1991,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1990,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1989,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1988,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1987,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1986,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1985,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1984,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1983,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1982,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1981,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1980,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1979,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1978,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1977,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1976,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1975,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1974,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
1973,,,Synchronization,Value,2017,,,,,2017,2017,,,,,,,,,,,
2020,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2019,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2018,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2017,,,Synchronization,Value,2016,a decrease of,-100.0%,,,2016,2016,,,(a decrease of of -100.0% vs. the prior year),,,,-100%,,,,
2016,,,Synchronization,Value,2016,,,,$214.8M,2016,2016,$7.5B,,,,$7491.7B,2016,,2.867707684%,214.83897654,214.83897654,2016
2015,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2014,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2013,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2012,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2011,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2010,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2009,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2008,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2007,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2006,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2005,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2004,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2003,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2002,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2001,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2000,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1999,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1998,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1997,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1996,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1995,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1994,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1993,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1992,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1991,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1990,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1989,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1988,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1987,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1986,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1985,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1984,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1983,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1982,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1981,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1980,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1979,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1978,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1977,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1976,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1975,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1974,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
1973,,,Synchronization,Value,2016,,,,,2016,2016,,,,,,,,,,,
2020,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2019,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2018,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2017,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2016,,,Synchronization,Value,2015,a decrease of,-100.0%,,,2015,2015,,,(a decrease of of -100.0% vs. the prior year),,,,-100%,,,,
2015,,,Synchronization,Value,2015,,,,$202.9M,2015,2015,$6.7B,,,,$6710.8B,2015,,3.023995918%,202.934888,202.934888,2015
2014,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2013,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2012,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2011,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2010,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2009,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2008,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2007,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2006,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2005,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2004,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2003,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2002,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2001,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2000,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1999,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1998,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1997,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1996,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1995,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1994,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1993,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1992,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1991,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1990,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1989,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1988,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1987,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1986,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1985,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1984,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1983,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1982,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1981,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1980,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1979,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1978,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1977,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1976,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1975,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1974,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
1973,,,Synchronization,Value,2015,,,,,2015,2015,,,,,,,,,,,
2020,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2019,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2018,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2017,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2016,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2015,,,Synchronization,Value,2014,a decrease of,-100.0%,,,2014,2014,,,(a decrease of of -100.0% vs. the prior year),,,,-100%,,,,
2014,,,Synchronization,Value,2014,,,,$189.7M,2014,2014,$6.7B,,,,$6694.7B,2014,,2.833780684%,189.713099,189.713099,2014
2013,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2012,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2011,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2010,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2009,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2008,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2007,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2006,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2005,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2004,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2003,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2002,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2001,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2000,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1999,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1998,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1997,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1996,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1995,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1994,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1993,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1992,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1991,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1990,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1989,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1988,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1987,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1986,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1985,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1984,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1983,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1982,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1981,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1980,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1979,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1978,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1977,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1976,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1975,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1974,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
1973,,,Synchronization,Value,2014,,,,,2014,2014,,,,,,,,,,,
2020,,,Synchronization,Value,2013,,,,,2013,2013,,,,,,,,,,,
2019,,,Synchronization,Value,2013,,,,,2013,2013,,,,,,,,,,,
2018,,,Synchronization,Value,2013,,,,,2013,2013,,,,,,,,,,,
2017,,,Synchronization,Value,2013,,,,,2013,2013,,,,,,,,,,,
2016,,,Synchronization,Value,2013,,,,,2013,2013,,,,,,,,,,,
2015,,,Synchronization,Value,2013,,,,,2013,2013,,,,,,,,,,,
2014,,,Synchronization,Value,2013,a decrease of,-100.0%,,,2013,2013,,,(a decrease of of -100.0% vs. the prior year),,,,-100%,,,,
2013,,,Synchronization,Value,2013,,,,$189.7M,2013,2013,$7.0B,,,,$7035.1B,2013,,2.696185024%,189.679434,189.679434,2013
2012,,,Synchronization,Value,2013,,,,,2013,2013,,,,,,,,,,,
2011,,,Synchronization,Value,2013,,,,,2013,2013,,,,,,,,,,,
2010,,,Synchronization,Value,2013,,,,,2013,2013,,,,,,,,,,,
2009,,,Synchronization,Value,2013,,,,,2013,2013,,,,,,,,,,,
2008,,,Synchronization,Value,2013,,,,,2013,2013,,,,,,,,,,,
